crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",2542419,https://www.musinsa.com/products/2542419,43900,76800,32900,43,피아네르,[SET] 서클 로고 카라 반팔&숏팬츠 셋업 (3color),1.4천,4.8,171,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3195200,https://www.musinsa.com/products/3195200,44900,79000,34100,43,커버낫,시어서커 집업 카라 티셔츠 블랙,254,4.9,29,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4407685,https://www.musinsa.com/products/4407685,59400,99000,39600,40,1993스튜디오,[FC서울] 그래픽 트랙 하프 집업 스웨트 셔츠_블랙,2.3천,4.9,22,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5007723,https://www.musinsa.com/products/5007723,62300,89000,26700,30,프리덤,키온 베이스볼 져지 (블랙),100,5.0,31,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2889367,https://www.musinsa.com/products/2889367,49000,49000,0,0,나인티플러스,컴뱃 쿨링 트레이닝 하프집업 V2 - 블랙,2.3천,4.9,313,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4628727,https://www.musinsa.com/products/4628727,35400,59000,23600,40,푸마,팀골 트레이닝 1/4 집(65862903) 긴팔티,699,4.5,13,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2705718,https://www.musinsa.com/products/2705718,49900,169000,119100,70,코닥,선샤인 트랙 반집업 맨투맨 IVORY,615,4.9,10,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5006275,https://www.musinsa.com/products/5006275,45500,65000,19500,30,노이어,리브드 집업 하프 니트 (블랙),675,4.9,24,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1548158,https://www.musinsa.com/products/1548158,101000,101000,0,0,지장사,[24004]남여공용 봄 가을 생활한복 선염 무명 17수 브이넥 한벌 검정,986,4.9,46,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2028348,https://www.musinsa.com/products/2028348,25110,27900,2790,10,무신사 스탠다드 스포츠,[쿨탠스] 컴프레션 롱 슬리브 [블랙],2.3천,4.8,1천+,TOP,1008,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4370212,https://www.musinsa.com/products/4370212,8900,15800,6900,44,아르메데스,언더레이어 반목 터틀 긴팔 무지 테크핏 AR-53 (10컬러),449,4.8,93,TOP,1008,M,success
