crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",4382060,https://www.musinsa.com/products/4382060,29800,43200,13400,31,퍼스텝,페인트쿨링 피그먼트 긴팔 빈티지로즈 BJLT4647,1.1천,4.7,64,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3465973,https://www.musinsa.com/products/3465973,29500,59000,29500,50,디스이즈네버댓,[무료반품] FCP L/S Tee Ice,188,4.8,12,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4240888,https://www.musinsa.com/products/4240888,22800,59000,36200,61,어반에이지,No Time 나그랑 롱슬리브_블랙,7.6천,4.8,119,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2794019,https://www.musinsa.com/products/2794019,15000,49000,34000,69,팀코믹스,코믹스 스프레이 카툰 그래픽 롱슬리브_화이트,2.5만,4.9,1천+,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4432458,https://www.musinsa.com/products/4432458,36400,52000,15600,30,디파이클럽로버스,Doom and Gloom (Layered Long Sleeve),4.3천,4.9,29,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3498084,https://www.musinsa.com/products/3498084,29500,59000,29500,50,디스이즈네버댓,[무료반품] Waffle L/S Tee Blue,256,4.7,17,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4761274,https://www.musinsa.com/products/4761274,55290,79000,23710,30,유희,GRAPHIC LAYERD LONG SLEEVE IVORY,1.4천,4.8,5,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4258986,https://www.musinsa.com/products/4258986,45900,59000,13100,22,1993스튜디오,93 그래픽 트랙 롱슬리브_오트베이지,7.3천,4.7,74,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4284391,https://www.musinsa.com/products/4284391,24800,45000,20200,45,나인제트,소프트 모달 루즈핏 긴팔 티셔츠 (화이트) 24TL03,527,4.7,30,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3424093,https://www.musinsa.com/products/3424093,24100,49000,24900,51,챔피온,C로고 클래식 저지 롱슬리브 티셔츠 White,1.5천,4.3,30,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4729987,https://www.musinsa.com/products/4729987,27900,49900,22000,44,앨빈클로,AVL 트랙 오버핏 긴팔티 AVT933 (2 COLOR),2.4천,4.9,70,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5021335,https://www.musinsa.com/products/5021335,44900,56200,11300,20,파르티멘토,린넨 블렌드 컷오프 니트 그레이,1.1천,4.9,10,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3996884,https://www.musinsa.com/products/3996884,12150,16200,4050,25,유니온스튜디오,루즈핏 베이직 실키 긴팔티 ( 4Color ),3.8천,4.8,866,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4923814,https://www.musinsa.com/products/4923814,89000,89000,0,0,더 레스큐,POP STRIPED L/S TEE [IVORY],138,5.0,2,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4387069,https://www.musinsa.com/products/4387069,32700,32700,0,0,토마스모어,잭 래글런 슬리브 - 네이비,2.2천,4.9,183,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4338956,https://www.musinsa.com/products/4338956,44900,109000,64100,59,혼다 모터사이클,Speed Track nylon Long sleeve Black,2.8천,4.8,63,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4938927,https://www.musinsa.com/products/4938927,74000,74000,0,0,홀리선,Powell Short Pique Stripe T-shirt Melange Gray,160,,,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3437830,https://www.musinsa.com/products/3437830,19000,49000,30000,61,트래블,워크샵 콤비네이션 래글런 롱 슬리브 차콜,6.7천,4.8,268,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4884063,https://www.musinsa.com/products/4884063,64000,91000,27000,30,낫포너드,Ashen Dawn Incision Long Sleeve - White,831,5.0,6,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3855654,https://www.musinsa.com/products/3855654,90300,129000,38700,30,엄브로,블록코어 사이드테잎 피스테 블랙(UP121CWT20),1.4천,4.9,51,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4743432,https://www.musinsa.com/products/4743432,41500,52000,10500,20,알리스,워셔블 레이어드 헨리넥 니트티셔츠 [블랙],6.4천,4.8,403,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4439881,https://www.musinsa.com/products/4439881,55200,69000,13800,20,디키즈,루즈핏 빅로고 긴소매 White,1.1만,4.9,88,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4334571,https://www.musinsa.com/products/4334571,33900,65000,31100,48,이스케이프프롬,레드 ESCF 로고 콜라주 프린트 롱슬리브 화이트,2.0만,4.6,299,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4746185,https://www.musinsa.com/products/4746185,95200,119000,23800,20,미즈노,MRB HIGH NECK PISTE_32YE5A42,918,5.0,4,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4302686,https://www.musinsa.com/products/4302686,31900,98000,66100,67,소라노,SORANO Double-Logo L/S Tee [2Color],1.7만,4.7,224,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4243340,https://www.musinsa.com/products/4243340,24900,59000,34100,58,어반디타입,풋볼 져지 롱슬리브_화이트,1.8만,4.8,655,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4869842,https://www.musinsa.com/products/4869842,27300,42000,14700,35,인템포무드,스파인 심 롱 슬리브 : 3컬러,462,4.9,36,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4844845,https://www.musinsa.com/products/4844845,33900,33900,0,0,러닝라이프,마이크로 메쉬 기능성 러닝 롱 슬리브,384,4.8,30,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5139647,https://www.musinsa.com/products/5139647,71100,79000,7900,10,엔비에이,[홀리뱅 착용] HWC LAL 메쉬 배색 반팔 티셔츠(N252TS853P) 화이트,525,4.8,4,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4730921,https://www.musinsa.com/products/4730921,30800,44000,13200,30,드로우핏,리브드 헨리넥 티셔츠 [MELANGE],1.9천,4.7,84,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4852680,https://www.musinsa.com/products/4852680,23800,37700,13900,37,디미트리블랙,[무료반품] ASI 에센셜 코튼 헨리넥 티셔츠_피그먼트 차콜,1.1천,4.7,21,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4309990,https://www.musinsa.com/products/4309990,41400,69000,27600,40,코드그라피,스포츠 배색 메쉬 져지 롱슬리브_화이트,1.3천,5.0,27,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4271610,https://www.musinsa.com/products/4271610,39200,49000,9800,20,리,빅 트위치 로고 긴팔 티셔츠 화이트,2.6천,4.8,77,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4309950,https://www.musinsa.com/products/4309950,11500,29000,17500,60,예일,소프트 플리스 모크넥 롱슬리브_화이트,672,4.6,19,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4833533,https://www.musinsa.com/products/4833533,25900,52000,26100,50,벤힛,MRT 카모 레글런 롱슬리브,7.3천,4.9,139,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4867799,https://www.musinsa.com/products/4867799,126990,340000,213010,63,아미,레드 하트 로고 티셔츠 - 나이트 블루 / BFUTS235724430,449,5.0,4,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4745670,https://www.musinsa.com/products/4745670,59000,74000,15000,20,낫포너드,Pigment Sleeve Lace Henley Neck Long Sleeve - Charcoal,3.9천,4.8,78,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4850116,https://www.musinsa.com/products/4850116,38500,55000,16500,30,웬즈데이오아시스,레글런 스티치 슬리브 티셔츠_3Color(W25-TP11),313,5.0,3,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3156318,https://www.musinsa.com/products/3156318,27800,52000,24200,47,오드스튜디오,베리클로즈 래글런 오버핏 롱 슬리브 - OATMEAL /GREEN,6.2만,4.8,2천+,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4804278,https://www.musinsa.com/products/4804278,39800,59000,19200,33,워크온바디오프,쓰리버튼 세미 오버핏 헨리넥 롱 슬리브-아이보리,917,4.6,11,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4308203,https://www.musinsa.com/products/4308203,33900,45900,12000,26,디미트리블랙,[무료반품] VLAD 피그먼트 슬래쉬 롱슬리브 티셔츠_차콜,1.1만,4.8,515,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3134802,https://www.musinsa.com/products/3134802,26890,29900,3010,10,무신사 스탠다드,멀티 스트라이프 릴렉스드 긴팔 티셔츠 1 [블랙/블루],8.0천,4.9,3천+,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4969903,https://www.musinsa.com/products/4969903,23000,23000,0,0,로그 스토어,골지 헨리넥 티셔츠,380,3.6,8,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4683955,https://www.musinsa.com/products/4683955,33150,39000,5850,15,더콜디스트모먼트,TCM starfish mini logo long sleeve (sky blue),2.2천,5.0,50,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4337999,https://www.musinsa.com/products/4337999,31410,34900,3490,10,셔터,NOTHING WILL WORKS 롱슬리브 (SLS014) 화이트,4.1천,4.8,139,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2074910,https://www.musinsa.com/products/2074910,23000,49000,26000,53,슈퍼서브,시그니처 로고 클래식 긴팔티-화이트,4.5천,4.7,237,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4802987,https://www.musinsa.com/products/4802987,39830,56900,17070,30,리브레너,DTG 베트남베어 오버핏 피그먼트 레이어드 티셔츠 차콜,706,4.7,19,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4592364,https://www.musinsa.com/products/4592364,9900,16500,6600,40,밀리브로,쿨링 ROKA 로카 긴팔 티셔츠,606,4.8,129,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4417871,https://www.musinsa.com/products/4417871,81900,117000,35100,30,하이타이드 프랭키,1925 FRANKIE DERBY JERSEY WHITE,1.3천,4.8,51,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4840067,https://www.musinsa.com/products/4840067,32890,54900,22010,40,프린트스타,[2PACK] 14수 7.4oz 헤비웨이트 라운드 오버핏 무지 긴팔 티셔츠,364,4.8,40,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3779386,https://www.musinsa.com/products/3779386,15000,49000,34000,69,팀코믹스,코믹스 스프레이 카툰 그래픽 롱슬리브_화이트(핑크.ver),3.0천,4.8,109,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4735357,https://www.musinsa.com/products/4735357,45500,65000,19500,30,디스이즈네버댓,[무료반품] T-Logo L/S Tee Dried Rose,811,4.9,15,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3167988,https://www.musinsa.com/products/3167988,25990,89000,63010,71,아디다스,아약스 하프집 - 블랙 / IN4720,877,4.8,65,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4761273,https://www.musinsa.com/products/4761273,55290,79000,23710,30,유희,GRAPHIC LAYERD LONG SLEEVE CHARCOAL,998,4.8,5,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4886457,https://www.musinsa.com/products/4886457,21900,27400,5500,20,브렌슨,오버핏 1:1 스트라이프 긴팔티 ( 4Color ),7.7천,4.8,295,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4820857,https://www.musinsa.com/products/4820857,129990,340000,210010,62,아미,레드 하트 로고 티셔츠 - 블랙 / BFUTS235724001,1.4천,4.9,38,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3913020,https://www.musinsa.com/products/3913020,58990,119000,60010,50,아디다스,[무료반품] 플레임 바이크 티셔츠 - 블랙 / IS0256,740,4.8,24,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3936432,https://www.musinsa.com/products/3936432,43000,61500,18500,30,소버먼트,460G 컷 헤비 피그먼트 롱 슬리브-스톤 네이비-,3.4천,4.9,366,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4995015,https://www.musinsa.com/products/4995015,38980,78000,39020,50,이스트게이트,[2-PACK] 애슬레틱 미드웨이트 롱슬리브,2.1천,4.8,56,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4286441,https://www.musinsa.com/products/4286441,49000,49000,0,0,브라운브레스,TAG LONGSLEEVE - BURGUNDY,4.6천,4.8,129,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4597792,https://www.musinsa.com/products/4597792,57800,68000,10200,15,엘무드,헨리 LD 리브드 롱슬리브 티셔츠 ( 3 COLOR ),2.8천,4.9,305,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4793704,https://www.musinsa.com/products/4793704,39900,79900,40000,50,티메이커,빈티지 시어서커 체크 셔츠_RAF2WC3001BK,855,4.9,50,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4780135,https://www.musinsa.com/products/4780135,35400,59000,23600,40,글랙,GT119 그런지 믹스 헨리넥 롱슬리브 (IVORY),257,5.0,3,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4685651,https://www.musinsa.com/products/4685651,79200,99000,19800,20,미즈노,RB PISTE_32YE5A20,1.4천,5.0,36,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4439882,https://www.musinsa.com/products/4439882,55200,69000,13800,20,디키즈,루즈핏 빅로고 긴소매 Black,2.6천,4.8,64,TOP,1010,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4672840,https://www.musinsa.com/products/4672840,34300,49000,14700,30,엘엠씨,FN OG LONG SLV TEE white,1.2천,4.9,30,TOP,1010,M,success
