product_id,crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
4858275,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4858275,32900,48000,15100,31,펀치라인,로이 스트라이프 긴팔티셔츠 다크네이비 NSLT9192,815,5.0,(20),TOP,001010,M,success
4852646,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4852646,33900,37700,3800,10,디미트리블랙,ASI 에센셜 코튼 헨리넥 티셔츠_피그먼트 올리브,489,4.8,(4),TOP,001010,M,success
3124281,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3124281,40600,58000,17400,30,프리즘웍스,STRIPE OVERSIZED RELAX TEE 002 _ DARK GREEN,571,4.8,(115),TOP,001010,M,success
4243340,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4243340,35990,59000,23010,39,어반디타입,풋볼 져지 롱슬리브_화이트,1.7만,4.8,(600),TOP,001010,M,success
3437830,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3437830,19900,49000,29100,59,트래블,워크샵 콤비네이션 래글런 롱 슬리브 차콜,6.1천,4.9,(252),TOP,001010,M,success
3764096,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3764096,67600,169000,101400,60,엄브로,레인저 바람막이 웜업 자켓 그레이 카키(UP121CJK11),1.2천,4.9,(48),TOP,001010,M,success
604387,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/604387,28000,56000,28000,50,꼼파뇨,롱슬리브 헤비 오버핏 스트라이프 단가라 블랙,1.2만,4.7,(3천+),TOP,001010,M,success
3471730,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3471730,33800,52000,18200,35,꼼파뇨,HANABI RACING 피그먼트 롱슬리브 스모크블랙,1.9만,4.8,(1천+),TOP,001010,M,success
4802987,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4802987,31800,56900,25100,44,리브레너,DTG 베트남베어 오버핏 피그먼트 레이어드 티셔츠 차콜,547,4.6,(11),TOP,001010,M,success
4806234,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4806234,47200,59000,11800,20,르아브,코브 후크 헨리넥 티셔츠 블랙,877,4.7,(53),TOP,001010,M,success
4382059,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4382059,29800,43200,13400,31,퍼스텝,페인트쿨링 피그먼트 긴팔 브라운 BJLT4647,1.2천,5.0,(24),TOP,001010,M,success
4968826,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4968826,127800,142000,14200,10,51퍼센트,Mesh henly neck longsleeve  - Black,58,,,TOP,001010,M,success
3825616,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3825616,39900,56000,16100,29,트래블,수페리어 피그먼트 롱 슬리브 크림,4.6천,4.8,(153),TOP,001010,M,success
2074910,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2074910,26000,49000,23000,47,슈퍼서브,시그니처 로고 클래식 긴팔티-화이트,4.4천,4.7,(234),TOP,001010,M,success
4515613,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4515613,39900,49900,10000,20,바우로 프로덕트,[무료반품] 패턴 머슬 헨리넥 니트티 [모카],526,4.9,(28),TOP,001010,M,success
4886457,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4886457,21900,27400,5500,20,브렌슨,오버핏 1:1 스트라이프 긴팔티 ( 4Color ),4.1천,4.9,(110),TOP,001010,M,success
3032497,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3032497,26500,53000,26500,50,꼼파뇨,레이싱 레포렘 롱슬리브 화이트,6.0천,4.8,(283),TOP,001010,M,success
4387069,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4387069,32700,32700,0,0,토마스모어,잭 래글런 슬리브 - 네이비,1.9천,4.9,(135),TOP,001010,M,success
3831448,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3831448,29800,45000,15200,34,벤힛,무드먼트 피그먼트 롱슬리브,1.9만,4.8,(1천+),TOP,001010,M,success
4258986,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4258986,49900,59000,9100,15,1993스튜디오,93 그래픽 트랙 롱슬리브_오트베이지,6.7천,4.8,(64),TOP,001010,M,success
4966659,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4966659,39900,49900,10000,20,파르티멘토,올드 스트라이프 롱 슬리브 카키 브라운,1.0천,4.9,(20),TOP,001010,M,success
4940667,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4940667,53100,59000,5900,10,허프,ARCH LOGO RAGLAN LONG SLEEVE [BEIGE/BLUE],545,5.0,(4),TOP,001010,M,success
4804278,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4804278,39800,59000,19200,33,워크온바디오프,쓰리버튼 세미 오버핏 헨리넥 롱 슬리브-아이보리,596,4.3,(6),TOP,001010,M,success
3813685,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3813685,29800,45000,15200,34,벤힛,MRT 레글런 롱슬리브,1.5만,4.7,(568),TOP,001010,M,success
2794019,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2794019,24500,49000,24500,50,팀코믹스,코믹스 스프레이 카툰 그래픽 롱슬리브_화이트,2.4만,4.9,(1천+),TOP,001010,M,success
4261906,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4261906,52200,58000,5800,10,아웃스탠딩,STRIPE CREW NECK LONG SLEEVE_OLIVE/NAVY,1.4천,4.8,(104),TOP,001010,M,success
4745670,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4745670,59000,74000,15000,20,낫포너드,Pigment Sleeve Lace Henley Neck Long Sleeve - Charcoal,2.8천,4.8,(47),TOP,001010,M,success
4240888,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4240888,22800,59000,36200,61,어반에이지,No Time 나그랑 롱슬리브_블랙,6.9천,4.8,(96),TOP,001010,M,success
4734492,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4734492,69350,73000,3650,5,노매뉴얼,SLASH LONG SLEEVE TEE - WASHED BLACK,2.7천,4.9,(103),TOP,001010,M,success
3167988,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3167988,34990,89000,54010,61,아디다스,아약스 하프집 - 블랙 / IN4720,705,4.8,(54),TOP,001010,M,success
4757913,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4757913,29800,38000,8200,22,트릴리온,와플 링 스냅 헨리넥 롱 슬리브 [블랙],8.7천,4.7,(385),TOP,001010,M,success
4729987,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4729987,29900,49900,20000,40,앨빈클로,AVL 트랙 오버핏 긴팔티 AVT933 (2 COLOR),1.2천,5.0,(41),TOP,001010,M,success
4825082,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4825082,29400,42000,12600,30,커스텀어클락,피그먼트 절개 헨리넥 롱 슬리브 티셔츠 3 COLOR COOSTS259,533,4.1,(10),TOP,001010,M,success
1275020,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1275020,29150,53000,23850,45,꼼파뇨,스트라이프 와펜 로고 롱슬리브 네이비그린,1.7만,4.8,(3천+),TOP,001010,M,success
4338956,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4338956,49000,109000,60000,55,혼다 모터사이클,Speed Track nylon Long sleeve Black,2.4천,4.8,(54),TOP,001010,M,success
4852680,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4852680,33900,37700,3800,10,디미트리블랙,ASI 에센셜 코튼 헨리넥 티셔츠_피그먼트 차콜,877,4.8,(13),TOP,001010,M,success
3779386,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3779386,24500,49000,24500,50,팀코믹스,코믹스 스프레이 카툰 그래픽 롱슬리브_화이트(핑크.ver),2.7천,4.8,(98),TOP,001010,M,success
847182,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/847182,23000,29000,6000,21,바스틱,스탠다드 스트라이프 포켓 롱슬리브_블랙 / 화이트,1.8만,4.7,(5천+),TOP,001010,M,success
4886453,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4886453,21900,27400,5500,20,브렌슨,루즈핏 스트라이프 긴팔티 ( 4Color ),1.3천,4.9,(84),TOP,001010,M,success
4283394,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4283394,34300,49000,14700,30,엘엠씨,SNOW GLOBE LONG SLV TEE white,585,4.8,(14),TOP,001010,M,success
3764428,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3764428,34300,49000,14700,30,비전스트릿웨어,VSW Text Graphic Long Sleeve Warm Gray,8.3천,4.9,(152),TOP,001010,M,success
4013054,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4013054,34400,43000,8600,20,가까이 유니언즈,절개 피그먼트 긴팔 티셔츠 애쉬 퍼플,1.2만,4.8,(809),TOP,001010,M,success
4337999,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4337999,27920,34900,6980,20,셔터,NOTHING WILL WORKS 롱슬리브 (SLS014) 화이트,3.4천,4.8,(110),TOP,001010,M,success
2058136,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2058136,59000,89000,30000,34,예일,[2PACK] 스몰아치 롱슬리브_화이트/블랙,2.5만,4.9,(5천+),TOP,001010,M,success
3489380,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3489380,34500,69000,34500,50,꼼파뇨,크래킹 레글런 롱슬리브 블랙,7.2천,4.9,(236),TOP,001010,M,success
4995015,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4995015,39980,78000,38020,49,이스트게이트,[2-PACK] 애슬레틱 미드웨이트 롱슬리브,1.4천,4.9,(32),TOP,001010,M,success
4287834,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4287834,39900,54000,14100,26,슈퍼서브,보드 트릭 긴팔티 - 오프화이트,2.9천,4.9,(39),TOP,001010,M,success
2723199,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2723199,29900,49000,19100,39,디미트리블랙,레이어링 스트라이프 롱슬리브 티셔츠_블랙&화이트,2.3만,4.7,(2천+),TOP,001010,M,success
4467093,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4467093,24900,50000,25100,50,브렌슨,B. 오버핏 피그먼트 시보리 긴팔티 ( 4Color ),799,4.7,(90),TOP,001010,M,success
4753376,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4753376,59000,89000,30000,34,에이프릴에잇,APR8 Cat Artwork L/S Tee,534,5.0,(2),TOP,001010,M,success
4306628,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4306628,29300,33900,4600,14,밴웍스,BALANCE TYPO 롱슬리브 (VLS0074) 블랙,6.2천,4.8,(97),TOP,001010,M,success
4844540,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4844540,62100,69000,6900,10,나이스고스트클럽,JUNJI ITO MANIAC TOMIE BIG BIG L/S TEE_IVORY(NG2FSUM443B),1.1천,4.9,(14),TOP,001010,M,success
1323883,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1323883,68000,68000,0,0,블랭크룸,피케 스트라이프 롱슬리브_BLACK,3.7천,4.8,(1천+),TOP,001010,M,success
3399740,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3399740,19900,56000,36100,64,트래블,프로젝트 래글런 롱 슬리브 라이트 베이지,7.1천,4.8,(391),TOP,001010,M,success
4373431,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4373431,29600,37000,7400,20,언탭트 스튜디오,시티보이 유니버스 오버랩 빅 오버핏 롱슬리브 트임 긴팔 티셔츠 6COLOR,2.0천,4.7,(108),TOP,001010,M,success
3529913,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3529913,49000,59000,10000,17,어반디타입,데이오프 롱슬리브 화이트_LT528,1.4만,4.8,(830),TOP,001010,M,success
4735836,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4735836,45000,64900,19900,31,밀리브로,[강철부대X밀리브로] 4GN 국산 컴뱃셔츠 긴팔,355,4.5,(2),TOP,001010,M,success
4655025,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4655025,19090,23900,4810,20,무신사 스탠다드,릴렉스드 립 커프스 래글런 긴소매 티셔츠 [화이트/네이비],290,5.0,(14),TOP,001010,M,success
4826207,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4826207,23900,35000,11100,32,시그니처,와플 헨리넥 티셔츠[블랙],676,4.4,(16),TOP,001010,M,success
4758458,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4758458,39900,49000,9100,19,디스커스 애슬레틱,스트라이프 롱슬리브 티셔츠 그린,847,4.8,(57),TOP,001010,M,success
4810647,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4810647,40000,56000,16000,29,세컨모놀로그,골지 헨리니티 롱 슬리브 [CHARCOAL]_SETS044CHARCOAL,3.7천,4.8,(130),TOP,001010,M,success
4853373,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4853373,45900,57400,11500,20,파르티멘토,멀티 스트라이프 칼라 롱 슬리브 네이비,695,4.8,(13),TOP,001010,M,success
4387074,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4387074,37500,37500,0,0,토마스모어,래글런 스트라이프 슬리브 - 아이보리,2.6천,4.8,(114),TOP,001010,M,success
