crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",4218831,https://www.musinsa.com/products/4218831,34800,44800,10000,22,음,선셋 썸머 린넨라이크 긴팔니트 보카크림,536,4.8,6,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2550443,https://www.musinsa.com/products/2550443,66000,110000,44000,40,테네르,매쉬 썸머 니트 카키,4.2천,4.9,153,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5044102,https://www.musinsa.com/products/5044102,29900,159800,129900,81,무드인사이드,[SET] 시그니처 워셔블 니트 3종,103,4.7,3,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4899057,https://www.musinsa.com/products/4899057,29900,79900,50000,63,마인드브릿지,[ON][케이블or베이직 선택]린넨라이크 반팔 니트 시리즈 - 14color,1.5만,4.9,625,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3971331,https://www.musinsa.com/products/3971331,53100,118000,64900,55,토피,[2PACK] 쿨 케이블 카라 하프 니트 (7 COLOURS),2.4천,4.9,209,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4041018,https://www.musinsa.com/products/4041018,38500,55000,16500,30,드로우핏,쿨링 모달 하프 카라 니트 [BROWN],2.3천,4.8,274,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5030891,https://www.musinsa.com/products/5030891,38500,55000,16500,30,엑스오엑스,[해피가이정호 PICK] 베이직 쿨 라운드 반팔 니트 [IVORY],237,5.0,3,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2224283,https://www.musinsa.com/products/2224283,49500,99000,49500,50,메종미네드,BROWNY KNIT HALF SHIRTS,1.5천,4.9,139,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5030898,https://www.musinsa.com/products/5030898,33500,63000,29500,47,엑스오엑스,[해피가이정호 PICK] 버튼 카라 썸머 쿨 반팔 니트 [NAVY],1.0천,4.8,10,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4715848,https://www.musinsa.com/products/4715848,27930,39900,11970,30,스파오,[COOL] 헨리넥 반팔니트_SPKWF25M01,1.2천,4.9,85,TOP,1006,M,success
