crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4893245,46500,49000,2500,5,에이치덱스,크랙 프린티드 피그먼트 슬리브리스 (Pigment Deep Red),,4.9,11,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5079642,35900,61900,26000,42,그랜디오시티,[2PACK] 헤비 골지 머슬핏 슬리브리스 나시 (3컬러),,4.9,7,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2643718,17800,32800,15000,46,플루크,피그먼트 슬리브리스 티셔츠 다크그레이 FSL101,,4.7,216,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3996963,16800,22400,5600,25,유니온스튜디오,( 2Pack ) 루즈핏 레이어드 트임 실키 슬리브리스 ( 4Color ),,4.8,372,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4208308,29700,33000,3300,10,르마드,U넥 슬리브리스 - 아이보리,,4.9,98,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4170411,15500,31500,16000,51,언더오프,오버핏 크루넥 슬리브리스 서핑베어 민소매 티셔츠 화이트,,4.9,69,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4380169,25200,36000,10800,30,인템포무드,서클 로고 립 슬리브리스 : 3컬러,,4.8,98,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4077418,20800,42800,22000,51,미니멀프로젝트,썬셋비치 피그먼트 나시 MSL100 [DARK GRAY],,4.9,213,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2005542,21250,25000,3750,15,브론슨,10.5 oz Cotton Tank Top,,4.8,4천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4980517,27300,42000,14700,35,미학,메탈 로고 머슬 탱크탑 (WHITE),,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4893231,35100,39000,3900,10,에이치덱스,실버 메인로고 라운드 슬리브리스 (White),,4.9,27,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4935971,31200,39000,7800,20,에스파이,[우연 × ESFAI] SLEEVELESS (OFF WHITE),,4.9,45,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4158681,15500,31500,16000,51,언더오프,오버핏 크루넥 슬리브리스 유니버시티 민소매 티셔츠 화이트레드,,4.9,24,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5094910,23460,34000,10540,31,바우로 프로덕트,[무료반품] 텍스처드 슬리브리스 [스트라이프],,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4970846,33600,42000,8400,20,에이치덱스,[HDEX x OTOKI] 컴포트 크랙 슬리브리스 (Charcoal),,4.9,16,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5068724,21750,29000,7250,25,드로우핏,[DRAW FIT X MANJAE] 리브드 슬리브리스 [IVORY],,4.2,13,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/552760,27800,47900,20100,42,제멋,[2PACK] 레이어드 롱나시 2PACK (HJST2072),,4.6,9천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5106377,12000,12800,800,6,지오다노,립 베이직 탱크탑 025561 [5color],,4.9,49,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4642645,35910,39900,3990,10,무신사 스탠다드 스포츠,[쿨탠스+] 풀 벤틸레이션 슬리브리스 (2color),,5.0,9,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5049529,19600,28000,8400,30,아스트로브,베놈컷 머슬나시 블랙,,4.9,19,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4217248,37800,42000,4200,10,에이치덱스,어시스트 백 포인트 슬리브리스 (White),,4.9,52,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4715829,9900,9900,0,0,스파오,[COOLTECH] 남성 라운드넥 민소매_SPMRFA9A02,,4.8,90,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5045528,38400,48000,9600,20,르아브,피그먼트 와플 스트럭쳐 슬리브리스,,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5026628,23000,36000,13000,36,트릴리온,리브드 링 스냅 헨리넥 슬리브리스_4color,,4.7,64,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4247714,24300,45000,20700,46,페르메논,스탠다드 로고 절개 나시 - 차콜,,4.9,10,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4216823,24100,37200,13100,35,피지컬가먼츠,P2447 절개 골지 슬림 나시 [2 COLOR],,4.9,575,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5068725,21750,29000,7250,25,드로우핏,[DRAW FIT X MANJAE] 리브드 슬리브리스 [MELANGE],,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3112617,19400,29000,9600,33,몰든,에어리즈 슬리브리스,,4.9,874,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4655185,18890,19900,1010,5,무신사 스탠다드,와이드 리브드 탱크 탑 [크림],,5.0,11,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4170414,16900,31500,14600,46,언더오프,오버핏 크루넥 슬리브리스 썸머비치 민소매 티셔츠 화이트블루,,4.9,95,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5070837,32250,43000,10750,25,주앙옴므,리파인드 리브드 슬리브리스 (차콜),,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5147115,23800,34000,10200,30,드릭스,바스켓볼 메시 저지 사이드 패널 슬리브리스_그레이,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5066809,29000,38000,9000,24,원나우,NOW fit Sleeveless_KHAKI,,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5032936,17400,17400,0,0,브렌슨,라운드넥 레이어드 슬리브리스 ( 3Color ),,4.9,31,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3254008,19900,50000,30100,60,커스텀어클락,[2PACK]레이어드 슬리브리스 나시 티셔츠 COOSTS074,,4.7,278,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4240409,15900,33800,17900,53,아르메데스,[3PACK] 기능성 오버핏 민소매 나시 짐웨어 AR-124,,4.6,77,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5147112,23800,34000,10200,30,드릭스,바스켓볼 메시 저지 사이드 패널 슬리브리스_화이트,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928970,24800,36000,11200,31,나인제트,스몰로고 골지 슬리브리스 (차콜) 25SL04,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4053258,49800,90000,40200,45,노이어,[2PACK] 스퀘어 넥 니트 슬리브리스 (5CO),,4.7,345,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4247733,23520,42000,18480,44,페르메논,스탠다드 무지 절개 나시 - 블랙,,4.7,20,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086489,23460,34000,10540,31,바우로 프로덕트,[무료반품] 리브드 릴랙스드 슬리브리스 [크림],,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993670,32500,65000,32500,50,지프,[2PACK] 아스킨 쿨 에어그램 민소매 티셔츠 (JR5TSU054BK),,5.0,27,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4810003,48000,92000,44000,48,제이엘브,심볼로고 풋볼 슬리브리스,,5.0,54,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993573,19900,29900,10000,33,시그니처,리브드 슬리브리스 티셔츠[그레이],,5.0,7,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1852718,22900,43800,20900,48,피아네르,[2 PACK] 레이어드 트임 나시 (2color),,4.8,2천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5059799,18900,21000,2100,10,다이브인,UNIFORM SLEEVELESS LIGHT (BROWN),,5.0,34,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4936661,35200,44000,8800,20,에스파이,[우연 × ESFAI] VTG SLEEVELESS (CHARCOAL),,4.8,405,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4657550,31900,31900,0,0,러닝라이프,러닝 싱글렛 베이직,,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2606164,19800,32800,13000,40,플루크,서프 클럽 피그먼트 슬리브리스 화이트 FSL104,,4.8,775,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4655119,21900,21900,0,0,무신사 스탠다드,피그먼트 탱크 탑 [다크 그레이],,4.8,34,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4422427,35100,39000,3900,10,엘무드,LD 리브드 슬리브리스 ( 4 COLOR ),,5.0,249,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2034964,18800,35000,16200,46,패블러스아카이브,UNISEX 오버핏 싱글 MAISON프린팅 슬리브리스 탑 화이트(FCB2TS300M),,4.9,1천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4968505,34300,49000,14700,30,디스이즈네버댓,[무료반품] T-Logo Sleeveless Charcoal,,5.0,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4074761,28690,41000,12310,30,파브레가,오가닉 코튼 슬리브리스 (3COLOR),,4.8,701,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3285956,31900,48000,16100,34,제이엘브,스탠다드 무지 나시,,4.8,504,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3201548,19900,24900,5000,20,브렌슨,ACHROMATIC_ 레이어드 슬리브리스 ( 2Color ),,4.8,727,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3996962,9300,12400,3100,25,유니온스튜디오,루즈핏 레이어드 트임 실키 슬리브리스 ( 4Color ),,4.8,606,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4760739,33750,45000,11250,25,노이어,멀티 리브드 슬리브리스 티셔츠 (브라운),,5.0,12,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086023,49000,49000,0,0,나이키,[무료반품] 민소매 티셔츠 M - 블랙 / HJ3688-010,,4.8,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5026197,24570,37900,13330,35,스켈리웩,더블 로고 스트라이프 슬리브리스[블랙],,4.8,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2658311,25900,37000,11100,30,게인스보로,[무료반품] 쿨모어 오션투어 슬리브리스_블랙,,4.9,112,TOP,1011,M,success
