crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4030865,15500,19800,4300,22,지오다노,피케 폴로 반팔 카라티 014502 [26color],,4.8,4천+,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4051708,31500,68000,36500,54,르아르,에브리데이 케이블 카라 반팔 니트 - 7 COLOR,,4.8,252,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4939651,22900,42710,19810,46,언탭트 스튜디오,워셔블 쿨 코튼 케이블 반팔 카라 니트 4Color,,4.9,223,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4963859,15800,35000,19200,55,리메인세컨드,린넨 라이크 오버핏 워셔블 카라넥 반팔 니트_5COLOR,,4.7,106,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5012374,32800,37700,4900,13,디미트리블랙,[무료반품] VLAD 트랙 부클 반팔 카라 니트_아이보리,,4.7,20,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086683,21700,41000,19300,47,요세미티,래글런 럭비 카라 트랙 반팔티 블랙 YT-305,,4.9,31,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4291283,23900,59900,36000,60,마인드브릿지,사카리바카라티셔츠 - 3color MXTS3106,,4.8,38,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4044428,41300,83700,42400,51,제멋,[2PACK] 워크 오버핏 카라 반팔티셔츠 SOST2568,,4.8,308,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5098563,32400,55900,23500,42,앨빈클로,[DELUXE] 분또 럭비 카라 반팔티 DLX2917 (4 COLOR),,4.9,7,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5005313,24800,42000,17200,41,워크온바디오프,클래식 세미 오버핏 코튼 피케 티셔츠 [블랙],,4.7,58,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4129471,49800,85600,35800,42,페플,[2PACK] 뉴웨이브 볼륨 카라 반팔티셔츠 6종 SJST1457,,4.7,140,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3180808,73990,158000,84010,53,폴스미스,지브라 로고 레귤러핏 폴로 셔츠 - 블루 / M2R151LZK2158049,,4.7,31,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4939660,29890,42710,12820,30,언탭트 스튜디오,워셔블 쿨 코튼 케이블 오픈 카라 니트 4Color,,5.0,86,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4051709,57900,135000,77100,57,르아르,[2PACK] 에브리데이 케이블 카라 반팔 니트,,4.9,173,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3132078,38900,69000,30100,44,커버낫,다잉 피케 티셔츠 차콜,,4.8,81,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928526,39800,55000,15200,28,나인제트,소프트 테리 오버핏 티셔츠 (멜란지 그레이) 25PK02,,4.7,19,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4992830,25000,49000,24000,49,수아레,[무료반품][수아레X패션플래닛] 데일리 쿨 하프 니트,,4.8,1천+,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4198652,39900,39900,0,0,폴햄,남성) 코튼 피케 폴로 반팔티_PHE2TT1944,,4.8,92,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4992561,25000,49000,24000,49,수아레,[무료반품][수아레X패션플래닛] 쿨 코튼 워셔블 하프 니트,,4.8,932,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4769163,37000,39000,2000,5,일꼬르소,에센셜 카라 반팔 니트 콘크리트그레이 IESW5E501CG,,5.0,86,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4964012,17800,39000,21200,54,리메인세컨드,오버핏 워셔블 카라넥 케이블 반팔 니트_5COLOR,,4.8,41,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5022409,88200,98000,9800,10,쿠어,오픈 카라 라이트 코튼 폴로 니트 (블랙),,4.9,10,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4040225,49800,85500,35700,42,페플,[2PACK] 뉴웨이브 더블코튼 핀턱 카라 반팔 5종 YKST1453,,4.8,217,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4790093,125990,218000,92010,42,메종 키츠네,볼드 폭스 헤드 패치 오버사이즈 반소매 폴로 셔츠 - 트러플 / MM00202KJ70100119,,5.0,35,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1925228,29400,42000,12600,30,드로우핏,리에디션 오픈카라 티셔츠 [BROWN],,4.9,584,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4103682,27590,46000,18410,40,언탭트 스튜디오,워셔블 쿨 코튼 반팔 카라 니트 4COLOR,,4.9,429,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5107456,39950,47000,7050,15,인템포무드,글리치 스트라이프 칼라 티셔츠_아이보리,,5.0,5,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1404738,30490,33900,3410,10,무신사 스탠다드,[추성훈 pick] [쿨탠다드] 피케 폴로 셔츠 [네이비],,4.9,1천+,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4984372,15800,35000,19200,55,리메인세컨드,오버핏 워셔블 반팔 니트_3STYLE,,4.7,280,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5041097,29000,39800,10800,27,지오다노,피케 폴로 오버사이즈 반팔 카라티 015513 [4color],,4.9,15,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4978215,39900,50000,10100,20,마카사이트,스트라이프 카라 하프 니트 아이보리,,4.8,18,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5082350,29900,73900,44000,60,비버리힐스 폴로클럽,남성 데일리 클래식 PK 반팔 티셔츠 3Color TS009,,4.9,7,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4036850,11700,39900,28200,71,폴햄,공용) 피케폴로 자수 반팔티_PHE2TT3900,,4.8,37,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5029472,89100,99000,9900,10,세터,[박규영 착용] 베이직 피케 폴로 반팔 티셔츠 블랙,,4.9,20,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4187545,106200,118000,11800,10,솔티,Mesh Mixed Crochet Polo Knit (Ivory),,5.0,8,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4237223,21200,53000,31800,60,구빈,부클 카라 반팔니트,,4.6,16,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4873767,80100,89000,8900,10,엘무드,옴므 코튼 PK 하프 니트 (5 COLOR),,5.0,221,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4898784,39900,69900,30000,43,마인드브릿지,와플 조직 배색 세미 오버 카라 티셔츠 - 2color,,4.8,24,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3927583,23600,59000,35400,60,수아레,[무료반품] 워셔블 케이블 반팔 니트 - 14 COLOR,,4.9,6천+,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4156531,79000,99000,20000,20,풋볼스탠다드,[토트넘] NO.7 마킹 PK셔츠_네이비,,4.7,24,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/557450,22300,32000,9700,30,제멋,루즈핏 카라티셔츠  네이비 JKST2066,,4.7,686,TOP,1003,M,success
