product_id,crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
4749808,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4749808,63200,79000,15800,20,글랙,GHD032 럭비 레이어드 후드 (NAVY),671,4.9,(9),TOP,001004,M,success
4377878,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4377878,49900,76500,26600,35,캣세이브더월드,[무센트 X 캣세월 콜라보] 픽셀 아트 후드 티 (2컬러),4.8천,4.5,(37),TOP,001004,M,success
2766751,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2766751,29900,59800,29900,50,어나더 아카이브,에센셜 시그니쳐 자수 후드티_화이트메란지,1.2만,4.8,(504),TOP,001004,M,success
4603926,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4603926,21800,109000,87200,80,푸마,[무료반품] 푸마 X 원피스 후드 TR (62466601),73,5.0,(3),TOP,001004,M,success
2852801,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2852801,13350,89000,75650,85,디폴트벨류,[기모] ARCH LOGO HODDIE NAVY,3.9천,4.7,(220),TOP,001004,M,success
4796684,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4796684,39900,44400,4500,10,디미트리블랙,VLAD 데님 아플리케 후드 티셔츠_더스트 인디고,4.6천,4.7,(56),TOP,001004,M,success
4342727,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4342727,39900,49900,10000,20,고스트리퍼블릭,타이푼 스포티 배색 후드티 GHT-482,8.4천,4.9,(219),TOP,001004,M,success
4860438,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4860438,29900,49900,20000,40,탑텐,남성) 라이트 테리 그래픽 반팔 스웨트 후디_MSF2TH1001,132,5.0,(8),TOP,001004,M,success
4288950,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4288950,38900,44500,5600,13,디미트리블랙,ASI 포시즌 에센셜 피그먼트 후드 티셔츠_차콜,1.7만,4.8,(994),TOP,001004,M,success
4499868,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4499868,49900,62000,12100,20,더마일,코트스퀘어 마인드 스웨트 후드 [피그먼트 KHAKI],3.8천,4.9,(70),TOP,001004,M,success
