crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",4768174,https://www.musinsa.com/products/4768174,19900,39900,20000,50,디미트리블랙,[무료반품] VLAD 페이드 워싱 트랙 데님 팬츠_더스트 인디고,678,4.7,16,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5066604,https://www.musinsa.com/products/5066604,49600,62000,12400,20,데케트,[데케트 × 패션플래닛][오정규 PICK] [썸머 린넨라이크]Relaxed Wide Denim Jeans DCPT064,1.0만,4.9,561,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5091485,https://www.musinsa.com/products/5091485,36800,71000,34200,48,딥센스,썸머 사이드 스냅 와이드 밴딩 데님 D602 - 3COLOR,466,5.0,2,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3703113,https://www.musinsa.com/products/3703113,159000,159000,0,0,리바이스,568 루즈 스트레이트 진_29037-0054,1.6천,4.8,89,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4149670,https://www.musinsa.com/products/4149670,29400,49000,19600,40,토피,SL01 섬머 데님 와이드 팬츠 (FADE LIGHT BLUE),1.1만,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3051677,https://www.musinsa.com/products/3051677,44890,51900,7010,14,무신사 스탠다드,린넨 라이크 세미 벌룬 데님 팬츠 [라이트 인디고],3.7천,4.9,774,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5142152,https://www.musinsa.com/products/5142152,45900,66000,20100,30,더블유브이프로젝트,나인 스트라이프 와이드 데님팬츠 라이트블루 MJLP7802,120,5.0,1,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4305988,https://www.musinsa.com/products/4305988,59000,98000,39000,40,오더아카이브,Semi flare wide 04 - Voyager blue,1.1천,4.9,68,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4044946,https://www.musinsa.com/products/4044946,34900,89900,55000,61,무드인사이드,린넨 라이크 데님 원턱 와이드 팬츠_Blue,4.2천,4.7,230,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2007396,https://www.musinsa.com/products/2007396,32890,49900,17010,34,무신사 스탠다드,레귤러 핏 데님 팬츠 [화이트],6.0천,4.9,2천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3126380,https://www.musinsa.com/products/3126380,19900,49000,29100,59,토피,데이 와이드 밴딩 데님 팬츠 (LIGHT BLUE),3.4천,4.9,563,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",858911,https://www.musinsa.com/products/858911,31850,49000,17150,35,토피,와이드 데님 팬츠 (LIGHT BLUE),12만,4.8,7만+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3048710,https://www.musinsa.com/products/3048710,54900,99000,44100,45,트래블,카펜터 데님 팬츠 블랙,2.2만,4.6,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4347626,https://www.musinsa.com/products/4347626,135000,150000,15000,10,쿠어,엠보 워시드 딥 커브드 데님 팬츠 (블랙),2.6천,4.7,121,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4702153,https://www.musinsa.com/products/4702153,29950,62900,32950,52,지크립,2025 핀턱 투라인 벌룬 와이드 데님팬츠,841,4.8,24,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2625515,https://www.musinsa.com/products/2625515,65900,98000,32100,33,오더아카이브,One Pintuck wide 04 - Non fade rough indigo,1.6만,4.9,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2450069,https://www.musinsa.com/products/2450069,29500,59000,29500,50,데케트,[여름원단]Semi Wide Jeans DCPT003Blue,3.2천,4.8,523,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2314686,https://www.musinsa.com/products/2314686,99000,99000,0,0,리바이스,505™ 레귤러 진_00505-4891,875,4.9,127,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3816988,https://www.musinsa.com/products/3816988,19900,55000,35100,64,커스텀어클락,커브드 밴딩 데님 팬츠 5 COLOR COOSPT237,5.6천,4.8,243,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2488402,https://www.musinsa.com/products/2488402,59000,129000,70000,54,플랙,쿨 스티즈 M41 인디고,239,4.9,15,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3899257,https://www.musinsa.com/products/3899257,33900,109000,75100,69,와르,[-6cm 숏버전 추가] M224 뉴 와이드 팬츠_그레이,2.8천,4.8,262,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3791988,https://www.musinsa.com/products/3791988,23990,53000,29010,55,필루미네이트,데미지 워시드 데님 팬츠-미디엄 블루,17만,4.8,1만+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4852987,https://www.musinsa.com/products/4852987,36800,54000,17200,32,하프나인,이지 매치 와이드 데님 팬츠 청바지 G12BRD_HXV11308 [진청],486,4.8,21,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4055790,https://www.musinsa.com/products/4055790,32900,38000,5100,13,디미트리블랙,[무료반품] ASI All-Sunday 와이드 린넨라이크 데님 팬츠_라이트 인디고,8.6천,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4728590,https://www.musinsa.com/products/4728590,37000,79000,42000,53,슈퍼서브,생지 스트레이트 데님 팬츠 - 블랙,1.3천,4.8,26,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3534448,https://www.musinsa.com/products/3534448,38500,52000,13500,26,디스펑트,Nus Wide One Tuck Denim Pants,4.5천,4.8,272,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3333709,https://www.musinsa.com/products/3333709,83400,139000,55600,40,모덴아르더,이지 루즈 데님 팬츠 (중청),2.4천,4.9,279,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2479983,https://www.musinsa.com/products/2479983,48300,69000,20700,30,어반드레스,BUCKLE WIDE DENIM PANTS STONE LIGHTBLUE,3.7만,4.7,2천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3856803,https://www.musinsa.com/products/3856803,24210,53800,29590,55,언탭트 스튜디오,바이오 워싱 와이드 청바지 데님 팬츠 6 COLOR,1.1만,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3793215,https://www.musinsa.com/products/3793215,29890,49900,20010,40,무신사 스탠다드,라이트웨이트 원 턱 레귤러 핏 데님 팬츠 [라이트 인디고],1.8천,4.8,212,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2503135,https://www.musinsa.com/products/2503135,29800,49800,20000,40,굿라이프웍스,린넨 라이크 이지 와이드 데님 팬츠 블랙,3.4만,4.8,4천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3076308,https://www.musinsa.com/products/3076308,69000,88000,19000,22,밀로 아카이브,리플렉트 커브드 팬츠 [오프 화이트],6.8천,4.9,491,BOTTOM,3002,M,success
