crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",3048828,https://www.musinsa.com/products/3048828,53000,89000,36000,40,트래블,[스토커즈 PICK] 워크샵 사이드 스냅 팬츠 피콕,1.0만,4.8,236,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3439044,https://www.musinsa.com/products/3439044,33500,64000,30500,48,토피,더블 사이드 라인 트랙 버티컬 팬츠 (DARK NAVY),2.5만,4.7,920,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4044639,https://www.musinsa.com/products/4044639,29900,59900,30000,50,무드인사이드,원턱 린넨 라이크 와이드 밴딩 팬츠_White,450,4.9,37,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4483981,https://www.musinsa.com/products/4483981,101250,135000,33750,25,나이키,[무료반품] 스포츠웨어 스우시 오픈 헴 플리스 팬츠 M - 블랙:화이트 / FN3343-010,2.0천,4.9,181,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3815900,https://www.musinsa.com/products/3815900,29700,49500,19800,40,썸플레이스,포켓 카고 나일론 투웨이 스트링 밴딩 팬츠 [블랙],1.2만,4.6,1천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4147690,https://www.musinsa.com/products/4147690,71790,79800,8010,10,무신사 스탠다드,[쿨탠다드] 쿨링 와이드 밴딩 팬츠 2팩,4.6천,4.8,348,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4006649,https://www.musinsa.com/products/4006649,19900,49000,29100,59,코드그라피,[스트링 OR 카고 선택] 쿨 나일론 팬츠_7COLOR,6.3천,4.8,261,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3575483,https://www.musinsa.com/products/3575483,39900,57000,17100,30,어반드레스,Simon Side-color Pants BLACK,9.9천,4.7,286,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3475618,https://www.musinsa.com/products/3475618,31850,49000,17150,35,크럼프,스티치 와이드 스웨트 팬츠 [블랙],2.8만,4.8,3천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3273810,https://www.musinsa.com/products/3273810,28900,65000,36100,56,마카사이트,Nylon Cargo Parasuit Pants Khaki,1.2만,4.8,792,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4995010,https://www.musinsa.com/products/4995010,43400,62000,18600,30,드로우핏,커브드 라인 워크 스웻 팬츠 [CHARCOAL],641,4.4,17,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4536874,https://www.musinsa.com/products/4536874,31900,58000,26100,45,필루미네이트,핀 턱 테이핑 트레이닝 팬츠-네이비,2.6천,4.8,81,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3888917,https://www.musinsa.com/products/3888917,61990,125000,63010,50,아디다스,[무료반품] 집오프 팬츠 - 블랙 / JD9580,1.1천,4.9,27,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4343525,https://www.musinsa.com/products/4343525,34990,50000,15010,30,가까이 유니언즈,원턱 투 라인 와이드 스웨트팬츠 다크그린,5.9천,4.9,280,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4797169,https://www.musinsa.com/products/4797169,43800,72000,28200,39,니티드,커브드 트레이닝 팬츠 MELANGE GREY,459,4.7,19,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4768148,https://www.musinsa.com/products/4768148,34900,38800,3900,10,디미트리블랙,[무료반품] VLAD 원턱 트랙 스웻 팬츠_피그먼트 차콜,8.7천,4.9,227,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3048838,https://www.musinsa.com/products/3048838,35000,59000,24000,41,트래블,워크샵 오픈니 팬츠 그레이,1.8만,4.8,1천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4000959,https://www.musinsa.com/products/4000959,43800,89900,46100,51,더블유브이프로젝트,[2PACK] 파라슈트 카고팬츠 2PACK JJLP7679,702,4.8,65,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3840902,https://www.musinsa.com/products/3840902,49800,62500,12700,20,낫포너드,Nylon Big Pocket Parachute Pants -  Red,5.9천,4.8,213,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3503598,https://www.musinsa.com/products/3503598,39900,98000,58100,59,코드그라피,[SET] [스트링 OR 카고 선택] 나일론 팬츠_9COLOR,3.7만,4.8,5천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3708950,https://www.musinsa.com/products/3708950,39600,99000,59400,60,레더리,파라슈트 와이드 카고 팬츠 [SAND BEIGE],7.9천,4.8,1천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5045743,https://www.musinsa.com/products/5045743,25900,39900,14000,35,언더오프,와이드 핀턱 더블 라인 트랙 팬츠 버건디,964,4.8,21,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4419595,https://www.musinsa.com/products/4419595,25600,32000,6400,20,제로,Over Nylon String Pants [4 Colors],584,4.8,36,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4925581,https://www.musinsa.com/products/4925581,30800,62000,31200,50,후러브스아트,프라이트 카고 팬츠 블랙,916,4.8,42,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3812112,https://www.musinsa.com/products/3812112,29900,69000,39100,57,세컨모놀로그,나일론 바이커 패널 밴딩팬츠 [BLACK]_SEPT041BLACK,1.4천,5.0,21,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3439140,https://www.musinsa.com/products/3439140,32040,89000,56960,64,토피,파이핑 라인 트랙 스트링 팬츠 (BLACK),1.4만,4.8,966,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4187743,https://www.musinsa.com/products/4187743,79950,123000,43050,35,트립르센스,[SET]브러쉬드 스트라이프 니트 셋업,145,5.0,2,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4774211,https://www.musinsa.com/products/4774211,105000,105000,0,0,아디다스,파이어버드 트랙 팬츠 - 블랙 / IJ7055,301,4.8,22,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3792018,https://www.musinsa.com/products/3792018,24000,58000,34000,59,필루미네이트,나일론 투 턱 테이핑 팬츠-블랙,4.9만,4.8,3천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4324279,https://www.musinsa.com/products/4324279,38500,62500,24000,38,언노운 플라넷,[여름원단추가] 데일리 투턱 와이드 스웨트 팬츠 그레이,7.6천,4.5,141,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3549081,https://www.musinsa.com/products/3549081,29800,79000,49200,62,엔피스튜디오,파라슈트 오버 와이드 스트링 팬츠 차콜,3.7천,4.7,199,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3941663,https://www.musinsa.com/products/3941663,19900,33900,14000,41,그랜디오시티,[논기모or기모] 와이드핏 트레이닝 밴딩 팬츠 (블랙),3.7천,4.7,345,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3874070,https://www.musinsa.com/products/3874070,29900,89900,60000,67,라이크더모스트,핀턱ver2 와이드 트레이닝 팬츠 [블랙],1.5만,4.8,381,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1941520,https://www.musinsa.com/products/1941520,58900,89000,30100,34,클라코,나일론 사이드 지퍼팬츠 (크림),6.7천,4.8,1천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4683185,https://www.musinsa.com/products/4683185,59400,99000,39600,40,레더리,파라슈트 와이드 카고 팬츠 [COTTON BLACK],4.6천,4.7,67,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1388110,https://www.musinsa.com/products/1388110,45240,52000,6760,13,이즈,린넨 밴딩 팬츠 [오버 핏]_카키_남녀공용,961,4.9,136,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3220335,https://www.musinsa.com/products/3220335,29000,65000,36000,55,어반디타입,[리뉴얼] 나일론 카고 밴딩팬츠_핑크_PL168,2.6만,4.8,2천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3469516,https://www.musinsa.com/products/3469516,39990,88000,48010,55,어반드레스,빅포켓 수퍼 와이드 밴딩 팬츠  - 2COL,5.4천,4.8,108,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2112061,https://www.musinsa.com/products/2112061,23700,52000,28300,54,가까이 유니언즈,[여름 or 기모 or 사계절 원단 선택] 원턱 와이드 스웨트팬츠 블랙,10만,4.9,4만+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3983091,https://www.musinsa.com/products/3983091,45000,98000,53000,54,어반에이지,Waterproof 원턱 카고 파라슈트 와이드 팬츠_그레이,8.4천,4.8,229,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4806459,https://www.musinsa.com/products/4806459,29900,37400,7500,20,브렌슨,( Waffle ) 스트링 와이드 와플 팬츠 ( 4Color ),1.1만,4.8,326,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4655083,https://www.musinsa.com/products/4655083,43900,43900,0,0,무신사 스탠다드,[쿨탠다드] 투 턱 와이드 라운지 스웨트 팬츠 [블랙],1.7천,5.0,127,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4114557,https://www.musinsa.com/products/4114557,15900,48900,33000,67,무드인사이드,인생 에어쿨 조거 팬츠_6Color,840,4.6,93,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3119699,https://www.musinsa.com/products/3119699,32250,43000,10750,25,제로,Nylon Deep One Tuck String Pants [New 3 Colors],1.2만,4.9,2천+,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4313203,https://www.musinsa.com/products/4313203,22000,50000,28000,56,수아레,[무료반품] 플리스 멀티 밴딩 팬츠 - 4 COLOR,2.3천,4.9,218,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4808290,https://www.musinsa.com/products/4808290,55300,79000,23700,30,디키즈,베이직 루즈핏 스웨트 팬츠 Black,598,4.7,13,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2739474,https://www.musinsa.com/products/2739474,66750,89000,22250,25,더블유엠씨,액티브 나일론 팬츠 (4color),5.2천,4.8,273,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1794933,https://www.musinsa.com/products/1794933,51800,74000,22200,30,트립르센스,플리츠 와이드 실루엣 팬츠_3 COLOR,1.6천,4.8,216,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4702364,https://www.musinsa.com/products/4702364,32900,55000,22100,40,엑스컨테이너,사이드 라인 나일론 트랙 팬츠 (BLACK),932,4.9,21,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4198624,https://www.musinsa.com/products/4198624,39900,118000,78100,66,커넥트킨록,[SET] 쿨링 이지 밴딩 팬츠 (9 COLOR),382,4.6,12,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5135248,https://www.musinsa.com/products/5135248,31900,51900,20000,39,피아네르,컴포터블 와이드 플리츠 팬츠 (블랙),117,5.0,7,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4249837,https://www.musinsa.com/products/4249837,79200,99000,19800,20,나이키,[무료반품] 클럽 플리스 오버사이즈 프렌치 테리 팬츠 M - 블랙:화이트 / HJ1823-010,2.7천,4.9,160,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3563522,https://www.musinsa.com/products/3563522,39600,49500,9900,20,구빈,블록코어 포인트 팬츠-블랙,1.8만,4.8,484,BOTTOM,3004,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2088813,https://www.musinsa.com/products/2088813,18000,98000,80000,82,트래블,[2-PACK]베이직 루즈핏 저지 팬츠,2.8천,4.7,782,BOTTOM,3004,M,success
